Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,452.91,176.87,4.636,-0.31328,0.0032,0.004,0.0024,1244.444,0.0001004,0.0001004
1,431.62,262.95,4.736,-0.31292,0.0158,0.0166,0.015,1244.444,0.0001231,0.0001231
2,233.14,169.47,4.819,-0.3113,0.0262,0.023,0.0294,1244.444,0.0002755,0.0002755
3,297.52,265.12,4.747,-0.31115,0.0162,0.012,0.0204,1244.444,0.00094,0.00094
4,380.32,267.69,4.788,-0.31095,0.0174,0.0138,0.021,1244.444,0.0001922,0.0001922
5,244.22,204.25,4.851,-0.31057,0.0416,0.0182,0.065,1244.444,0.0001627,0.0001627
6,376.79,128.61,4.9,-0.30906,0.1009,0.1044,0.0974,1244.444,0.0004797,0.0004797
7,224.93,56.29,4.756,-0.311,0.0114,0.0148,0.008,1244.444,0.00315,0.00315
8,349.31,49.08,4.813,-0.31335,0.0146,0.0156,0.0136,1244.444,0.0002304,0.0002304
9,417.45,70.02,4.638,-0.3224,0.0286,0.028,0.0292,1244.444,0.0003814,0.0003814
10,276.39,216.72,4.804,-0.31123,0.0069,0.0072,0.0066,1244.444,0.0001517,0.0001517
11,339.95,94.48,4.743,-0.31179,0.0097,0.0118,0.0076,1244.444,0.0001437,0.0001437
12,488.52,276.52,4.626,-0.31372,0.0127,0.012,0.0134,1244.444,0.0001139,0.0001139
13,325.72,95.13,4.557,-0.31378,0.0428,0.0374,0.0482,1244.444,0.0003661,0.0003661
14,183.22,33.1,4.509,-0.31577,0.0254,0.0442,0.0066,1244.444,0.00167,0.00167
15,404.88,293.49,4.599,-0.32045,0.0234,0.0228,0.024,1244.444,0.0004425,0.0004425
16,132.47,23.28,4.937,-0.30883,0.0847,0.0652,0.1042,1244.444,0.00092,0.00092
17,518.6,108.04,4.753,-0.31153,0.0119,0.0186,0.0052,1244.444,0.0005162,0.0005162
18,464.27,54.13,4.659,-0.28926,0.0403,0.0494,0.0312,1244.444,0.0001966,0.0001966
19,345.52,29.51,4.821,-0.31198,0.041,0.0444,0.0376,1244.444,0.0003657,0.0003657
20,382.77,62.61,4.738,-0.31197,0.0277,0.0222,0.0332,1244.444,0.0003477,0.0003477
21,259.19,17.42,4.774,-0.31143,0.036,0.0398,0.0322,1244.444,0.0007413,0.0007413
22,379.1,260.04,4.668,-0.31332,0.0072,0.0084,0.006,1244.444,0.0001674,0.0001674
23,296.64,63.84,4.758,-0.31174,0.0226,0.0232,0.022,1244.444,0.0002231,0.0002231
24,308.38,15.69,4.611,-0.31355,0.0694,0.0782,0.0606,1244.444,0.0004449,0.0004449
25,303.85,222.29,4.732,-0.31226,0.0247,0.024,0.0254,1244.444,0.0001771,0.0001771
26,350.23,119.82,4.777,-0.31228,0.0047,0.0052,0.0042,1244.444,0.0002052,0.0002052
27,254.63,160.81,4.68,-0.31283,0.0077,0.0078,0.0076,1244.444,0.000127,0.000127
28,239.48,95.49,4.743,-0.27186,0.0479,0.03,0.0658,1244.444,0.0003268,0.0003268
29,361.49,161.57,4.792,-0.32426,0.0104,0.0126,0.0082,1244.444,0.0002028,0.0002028
30,374.68,352.09,4.693,-0.31268,0.0081,0.0114,0.0048,1244.444,0.0001862,0.0001862
31,110.68,26.33,5.058,-0.30701,0.0131,0.0162,0.01,1244.444,0.00143,0.00143
32,316.3,206.19,4.93,-0.30828,0.0304,0.036,0.0248,1244.444,0.000165,0.000165
33,349.31,230.02,4.677,-0.31373,0.0048,0.0052,0.0044,1244.444,0.0001237,0.0001237
34,243.96,91.39,4.71,-0.2877,0.077,0.0452,0.1088,1244.444,0.0004901,0.0004901
35,353.94,59.32,4.915,-0.3092,0.0115,0.0114,0.0116,1244.444,0.00021,0.00021
36,369.39,52.98,4.854,-0.31028,0.0109,0.0164,0.0054,1244.444,0.0001508,0.0001508
37,378.69,342.47,4.594,-0.31539,0.0243,0.022,0.0266,1244.444,0.0001322,0.0001322
38,506.39,133.83,4.486,-0.31594,0.0282,0.033,0.0234,1244.444,0.0001402,0.0001402
39,303.77,176.99,4.574,-0.31403,0.0071,0.008,0.0062,1244.444,0.0001235,0.0001235
40,315.81,279.67,4.705,-0.31264,0.0059,0.0084,0.0034,1244.444,0.0002012,0.0002012
41,230.06,294.52,4.815,-0.31264,0.0073,0.0102,0.0044,1244.444,0.0001489,0.0001489
42,414.51,248.06,4.655,-0.31429,0.0259,0.0268,0.025,1244.444,0.0001074,0.0001074
43,198.45,264.39,4.755,-0.31328,0.0134,0.0102,0.0166,1244.444,0.0001781,0.0001781
44,286.56,222.67,4.868,-0.3105,0.0053,0.006,0.0046,1244.444,0.0001343,0.0001343
45,421.42,312.03,4.763,-0.31105,0.0074,0.0074,0.0074,1244.444,0.0004908,0.0004908
46,306.87,467.48,4.674,-0.31335,0.0362,0.0302,0.0422,1244.444,0.000353,0.000353
