Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,411.64,320.23,4.656,-0.31111,0.0028,0.0044,0.0012,1244.444,0.0001358,0.0001358,0.0001358
1,263.17,246.78,4.535,0.0,0.0011,0.0014,0.0008,1244.444,0.0001318,0.0001318,0.0001318
2,237.49,108.53,4.68,-0.31073,0.0052,0.0042,0.0062,1244.444,0.0001481,0.0001481,0.0001481
3,375.18,146.67,4.607,0.0,0.0088,0.013,0.0046,1244.444,0.0002068,0.0002068,0.0002068
4,551.37,148.65,4.462,-0.32295,0.0077,0.0114,0.004,1244.444,0.0003486,0.0003486,0.0003486
5,376.75,411.54,4.427,0.0,0.0063,0.0084,0.0042,1244.444,0.0001467,0.0001467,0.0001467
6,473.48,172.28,4.64,-0.31059,0.003,0.0042,0.0018,1244.444,9.459e-05,9.459e-05,9.459e-05
7,256.52,373.92,4.476,0.0,0.0016,0.0026,0.0006,1244.444,9.201e-05,9.201e-05,9.201e-05
8,197.77,178.24,4.402,-0.31475,0.0017,0.0026,0.0008,1244.444,0.00101,0.00101,0.00101
9,490.26,391.21,4.519,0.0,0.0089,0.0054,0.0124,1244.444,9.882e-05,9.882e-05,9.882e-05
10,319.22,64.53,4.628,-0.31213,0.005,0.0072,0.0028,1244.444,0.0001128,0.0001128,0.0001128
11,109.35,142.4,4.572,0.0,0.0779,0.1202,0.0356,1244.444,0.00312,0.00312,0.00312
12,201.77,298.68,4.464,-0.31549,0.0024,0.0036,0.0012,1244.444,0.0001577,0.0001577,0.0001577
13,359.04,81.02,4.573,0.0,0.0028,0.0032,0.0024,1244.444,0.0001826,0.0001826,0.0001826
14,39.1,156.41,4.604,0.0,0.1339,0.2434,0.0244,1244.444,0.02641,0.02641,0.02641
15,338.73,69.55,4.497,0.0,0.0263,0.0208,0.0318,1244.444,0.0005741,0.0005741,0.0005741
16,384.4,140.01,4.513,0.0,0.0025,0.0042,0.0008,1244.444,0.0001139,0.0001139,0.0001139
17,247.97,39.57,4.676,0.0,0.0056,0.007,0.0042,1244.444,0.0005898,0.0005898,0.0005898
18,367.38,56.25,4.515,-0.31437,0.0032,0.0052,0.0012,1244.444,0.0002026,0.0002026,0.0002026
19,162.55,159.18,4.444,0.0,0.001,0.0012,0.0008,1244.444,0.0001767,0.0001767,0.0001767
20,584.97,447.82,4.341,-0.31506,0.0231,0.023,0.0232,1244.444,0.0001108,0.0001108,0.0001108
21,122.77,197.35,4.485,0.0,0.0166,0.02,0.0132,1244.444,0.0002649,0.0002649,0.0002649
22,286.61,199.76,4.383,-0.3144,0.0062,0.0082,0.0042,1244.444,0.00055,0.00055,0.00055
23,25.55,39.98,4.532,0.0,0.0196,0.0384,0.0008,1244.444,0.00131,0.00131,0.00131
24,318.67,83.52,4.646,-0.31097,0.0016,0.003,0.0002,1244.444,0.000319,0.000319,0.000319
25,178.29,272.79,4.702,0.0,0.0094,0.01,0.0088,1244.444,0.0001639,0.0001639,0.0001639
26,208.59,107.61,4.649,-0.3113,0.0064,0.007,0.0058,1244.444,0.0003845,0.0003845,0.0003845
27,342.36,39.3,4.604,0.0,0.0275,0.014,0.041,1244.444,0.000254,0.000254,0.000254
28,167.6,14.43,4.517,-0.31294,0.0095,0.0138,0.0052,1244.444,0.0003164,0.0003164,0.0003164
29,331.25,178.01,4.46,0.0,0.0098,0.012,0.0076,1244.444,0.0003218,0.0003218,0.0003218
30,342.68,117.59,4.645,0.0,0.0502,0.0622,0.0382,1244.444,0.0006269,0.0006269,0.0006269
31,396.54,324.23,4.613,-0.3168,0.0131,0.0166,0.0096,1244.444,0.0003599,0.0003599,0.0003599
32,277.47,88.77,4.499,-0.31188,0.0115,0.0148,0.0082,1244.444,0.0001231,0.0001231,0.0001231
33,179.74,192.14,4.597,0.0,0.0034,0.0052,0.0016,1244.444,0.0001765,0.0001765,0.0001765
34,406.18,34.17,4.562,0.0,0.005,0.0042,0.0058,1244.444,0.0008482,0.0008482,0.0008482
35,376.62,333.59,4.722,0.0,0.005,0.0066,0.0034,1244.444,0.0001492,0.0001492,0.0001492
