Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,93.9,12.12,5.088,-0.30783,0.003,0.0042,0.0018,864.0,0.0002204,0.0002204,0.0002204
1,92.8,98.5,4.981,-0.30902,0.0034,0.0042,0.0026,864.0,0.0001313,0.0001313,0.0001313
2,89.74,32.1,4.892,-0.3104,0.0162,0.018,0.0144,864.0,0.0002312,0.0002312,0.0002312
3,64.18,28.08,4.944,-0.27711,0.0981,0.102,0.0942,864.0,0.0004611,0.0004611,0.0004611
4,89.5,108.27,4.987,-0.32195,0.3388,0.2986,0.379,864.0,0.00097,0.00097,0.00097
5,114.15,202.19,4.882,-0.31039,0.0941,0.1008,0.0874,864.0,0.0004693,0.0004693,0.0004693
6,111.53,153.12,4.969,-0.30806,0.0522,0.0594,0.045,864.0,0.0002793,0.0002793,0.0002793
7,90.57,66.57,5.015,-0.30824,0.0044,0.007,0.0018,864.0,0.0003799,0.0003799,0.0003799
8,90.12,129.74,5.111,-0.3073,0.0102,0.013,0.0074,864.0,0.0003249,0.0003249,0.0003249
9,110.21,95.22,4.972,-0.30941,0.1487,0.1482,0.1492,864.0,0.01561,0.01561,0.01561
10,159.48,153.75,4.876,-0.31036,0.0418,0.0494,0.0342,864.0,0.00453,0.00453,0.00453
11,106.31,53.14,5.132,-0.30673,0.0278,0.0266,0.029,864.0,0.00775,0.00775,0.00775
12,221.95,121.78,4.831,-0.31113,0.3979,0.4478,0.348,864.0,0.00196,0.00196,0.00196
13,75.68,12.99,4.95,-0.30876,0.0059,0.0056,0.0062,864.0,0.0002571,0.0002571,0.0002571
14,121.84,158.84,4.995,-0.30886,0.0058,0.0062,0.0054,864.0,0.0001649,0.0001649,0.0001649
15,123.25,61.93,5.118,-0.30738,0.0063,0.0078,0.0048,864.0,0.0026,0.0026,0.0026
16,100.79,252.45,4.918,-0.3091,0.0044,0.0074,0.0014,864.0,0.0001987,0.0001987,0.0001987
17,134.3,161.47,5.003,-0.30763,0.0097,0.015,0.0044,864.0,0.0002599,0.0002599,0.0002599
18,122.97,158.82,4.866,-0.31125,0.059,0.054,0.064,864.0,0.0003573,0.0003573,0.0003573
19,75.53,110.92,5.104,-0.30768,0.0083,0.008,0.0086,864.0,0.000834,0.000834,0.000834
20,113.42,110.64,4.902,-0.30965,0.0037,0.0054,0.002,864.0,0.0002296,0.0002296,0.0002296
21,97.48,139.48,5.04,-0.30739,0.0036,0.0062,0.001,864.0,0.0002552,0.0002552,0.0002552
22,83.6,49.74,4.979,-0.30076,0.0132,0.0148,0.0116,864.0,0.0004235,0.0004235,0.0004235
23,98.07,92.46,5.033,-0.30851,0.021,0.0246,0.0174,864.0,0.0002768,0.0002768,0.0002768
24,139.74,148.06,4.766,-0.30398,0.0476,0.0574,0.0378,864.0,0.00251,0.00251,0.00251
25,137.39,227.29,4.87,-0.31089,0.0076,0.0108,0.0044,864.0,0.000195,0.000195,0.000195
26,75.59,153.04,4.999,-0.30886,0.0055,0.008,0.003,864.0,0.0002657,0.0002657,0.0002657
27,108.73,59.51,5.077,-0.30693,0.0556,0.0618,0.0494,864.0,0.0002341,0.0002341,0.0002341
28,75.38,77.34,5.198,-0.30578,0.004,0.0054,0.0026,864.0,0.0002327,0.0002327,0.0002327
29,95.12,19.48,4.994,-0.30757,0.0027,0.0044,0.001,864.0,0.0002371,0.0002371,0.0002371
30,116.64,220.94,5.083,-0.30708,0.0022,0.0042,0.0002,864.0,0.0008081,0.0008081,0.0008081
31,98.39,62.6,5.129,-0.30656,0.0045,0.0034,0.0056,864.0,0.0003529,0.0003529,0.0003529
32,109.13,35.05,5.204,-0.30413,0.0042,0.0066,0.0018,864.0,0.0002468,0.0002468,0.0002468
33,126.75,58.96,4.953,-0.30938,0.0234,0.0214,0.0254,864.0,0.0002962,0.0002962,0.0002962
34,68.8,93.66,4.937,-0.30923,0.0113,0.0098,0.0128,864.0,0.0002286,0.0002286,0.0002286
35,108.14,44.02,5.074,-0.30721,0.0024,0.0046,0.0002,864.0,0.0002062,0.0002062,0.0002062
36,129.87,154.95,5.102,-0.30593,0.0042,0.007,0.0014,864.0,0.000358,0.000358,0.000358
37,85.19,72.07,5.168,-0.30222,0.0294,0.0348,0.024,864.0,0.00249,0.00249,0.00249
38,66.69,113.1,5.106,-0.30753,0.0076,0.009,0.0062,864.0,0.0002742,0.0002742,0.0002742
39,90.77,137.66,5.018,-0.30838,0.0767,0.0244,0.129,864.0,0.0002349,0.0002349,0.0002349
40,77.37,14.99,5.163,-0.30613,0.0189,0.0146,0.0232,864.0,0.0004029,0.0004029,0.0004029
41,79.98,44.27,5.093,-0.30775,0.015,0.012,0.018,864.0,0.0004693,0.0004693,0.0004693
42,115.49,226.52,4.925,-0.30938,0.006,0.008,0.004,864.0,0.0001847,0.0001847,0.0001847
43,118.23,126.27,5.033,-0.30812,0.01,0.012,0.008,864.0,0.0002351,0.0002351,0.0002351
44,103.72,191.91,5.116,-0.30753,0.0104,0.0182,0.0026,864.0,0.0004412,0.0004412,0.0004412
45,80.94,99.59,4.88,-0.30948,0.0542,0.064,0.0444,864.0,0.0002332,0.0002332,0.0002332
46,74.52,36.77,5.145,-0.30658,0.0096,0.019,0.0002,864.0,0.0003525,0.0003525,0.0003525
47,32.41,22.61,5.001,-0.30885,0.008,0.0108,0.0052,864.0,0.0001915,0.0001915,0.0001915
48,109.79,182.0,4.934,-0.309,0.0386,0.0502,0.027,864.0,0.0001637,0.0001637,0.0001637
49,82.29,82.45,5.116,-0.30701,0.0042,0.0068,0.0016,864.0,0.0003181,0.0003181,0.0003181
50,84.21,110.15,5.017,-0.30795,0.0036,0.003,0.0042,864.0,0.0002336,0.0002336,0.0002336
51,67.15,82.41,5.209,-0.30446,0.0039,0.0072,0.0006,864.0,0.0004433,0.0004433,0.0004433
52,71.44,68.46,5.016,-0.30785,0.0053,0.0092,0.0014,864.0,0.0002253,0.0002253,0.0002253
53,48.04,18.2,5.048,-0.30705,0.077,0.068,0.086,864.0,0.00125,0.00125,0.00125
54,53.16,58.92,5.024,-0.30335,0.0231,0.031,0.0152,864.0,0.0007339,0.0007339,0.0007339
55,83.85,126.67,5.197,-0.30556,0.0039,0.0068,0.001,864.0,0.0003321,0.0003321,0.0003321
