Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,300.83,286.54,4.656,-0.31111,0.0013,0.002,0.0006,1244.444,9.983e-05,9.983e-05,9.983e-05
1,396.21,267.1,4.535,0.0,0.0017,0.0028,0.0006,1244.444,0.0001533,0.0001533,0.0001533
2,291.28,116.96,4.68,-0.31073,0.0034,0.0048,0.002,1244.444,8.752e-05,8.752e-05,8.752e-05
3,367.99,146.67,4.607,0.0,0.009,0.0106,0.0074,1244.444,0.0002006,0.0002006,0.0002006
4,542.14,158.39,4.462,-0.32295,0.0087,0.0132,0.0042,1244.444,0.0003997,0.0003997,0.0003997
5,303.98,369.99,4.427,0.0,0.0049,0.0078,0.002,1244.444,0.0002687,0.0002687,0.0002687
6,389.79,166.56,4.64,-0.31059,0.0022,0.0038,0.0006,1244.444,0.0001072,0.0001072,0.0001072
7,306.25,380.46,4.476,0.0,0.002,0.0026,0.0014,1244.444,0.0001138,0.0001138,0.0001138
8,316.03,243.19,4.402,-0.31475,0.0022,0.0038,0.0006,1244.444,0.000427,0.000427,0.000427
9,568.26,437.65,4.519,0.0,0.0037,0.0026,0.0048,1244.444,8.333e-05,8.333e-05,8.333e-05
10,285.02,60.52,4.628,-0.31213,0.0044,0.0058,0.003,1244.444,0.0003361,0.0003361,0.0003361
11,213.89,106.21,4.572,0.0,0.0721,0.103,0.0412,1244.444,0.00172,0.00172,0.00172
12,296.98,282.07,4.464,-0.31549,0.001,0.0014,0.0006,1244.444,0.0001077,0.0001077,0.0001077
13,62.55,50.17,4.573,0.0,0.0157,0.0282,0.0032,1244.444,0.0008126,0.0008126,0.0008126
14,269.6,323.18,4.604,0.0,0.0883,0.1414,0.0352,1244.444,0.00236,0.00236,0.00236
15,412.98,61.96,4.497,0.0,0.0198,0.0136,0.026,1244.444,0.0007579,0.0007579,0.0007579
16,351.65,134.66,4.513,0.0,0.0032,0.0036,0.0028,1244.444,0.0001063,0.0001063,0.0001063
17,258.48,40.61,4.676,0.0,0.0055,0.008,0.003,1244.444,0.0003942,0.0003942,0.0003942
18,369.54,53.55,4.515,-0.31437,0.0022,0.0032,0.0012,1244.444,0.0001117,0.0001117,0.0001117
19,391.59,217.35,4.444,0.0,0.0009,0.0016,0.0002,1244.444,9.392e-05,9.392e-05,9.392e-05
20,469.98,425.89,4.341,-0.31506,0.0232,0.0194,0.027,1244.444,0.0001353,0.0001353,0.0001353
21,429.15,187.62,4.485,0.0,0.0086,0.0096,0.0076,1244.444,0.0002844,0.0002844,0.0002844
22,442.54,371.0,4.383,-0.3144,0.0041,0.0056,0.0026,1244.444,0.0002098,0.0002098,0.0002098
23,16.67,39.54,4.532,0.0,0.0183,0.0346,0.002,1244.444,0.00128,0.00128,0.00128
24,275.03,89.17,4.646,-0.31097,0.0047,0.0072,0.0022,1244.444,0.0002991,0.0002991,0.0002991
25,190.63,297.93,4.702,0.0,0.0065,0.0088,0.0042,1244.444,0.0001511,0.0001511,0.0001511
26,193.85,90.42,4.649,-0.3113,0.0091,0.009,0.0092,1244.444,0.0003743,0.0003743,0.0003743
27,305.23,45.96,4.604,0.0,0.0403,0.0228,0.0578,1244.444,0.0003262,0.0003262,0.0003262
28,149.55,14.43,4.517,-0.31294,0.0117,0.0154,0.008,1244.444,0.0002512,0.0002512,0.0002512
29,485.54,293.28,4.46,0.0,0.0107,0.01,0.0114,1244.444,0.0001443,0.0001443,0.0001443
30,292.27,118.97,4.645,0.0,0.0392,0.0414,0.037,1244.444,0.0007754,0.0007754,0.0007754
31,384.9,343.11,4.613,-0.3168,0.0121,0.0152,0.009,1244.444,0.0002476,0.0002476,0.0002476
32,323.61,89.04,4.499,-0.31188,0.0087,0.0116,0.0058,1244.444,0.0001506,0.0001506,0.0001506
33,266.66,208.21,4.597,0.0,0.0011,0.001,0.0012,1244.444,0.0001542,0.0001542,0.0001542
34,474.69,33.95,4.562,0.0,0.0056,0.0068,0.0044,1244.444,0.0003273,0.0003273,0.0003273
35,400.69,322.18,4.722,0.0,0.0037,0.0044,0.003,1244.444,0.0002383,0.0002383,0.0002383
36,270.77,260.87,4.608,0.0,0.0076,0.0092,0.006,1244.444,0.0001867,0.0001867,0.0001867
37,339.29,225.66,4.498,-0.31322,0.0141,0.0158,0.0124,1244.444,0.0002747,0.0002747,0.0002747
38,424.26,144.46,4.458,0.0,0.0451,0.0122,0.078,1244.444,0.0004117,0.0004117,0.0004117
39,96.11,53.13,4.504,-0.31442,0.0035,0.0042,0.0028,1244.444,0.0004221,0.0004221,0.0004221
40,243.77,33.87,4.464,-0.31843,0.005,0.0064,0.0036,1244.444,0.0002455,0.0002455,0.0002455
41,245.72,294.96,4.576,-0.31168,0.002,0.0026,0.0014,1244.444,0.0001452,0.0001452,0.0001452
42,280.41,95.63,4.641,0.0,0.0019,0.003,0.0008,1244.444,0.0002075,0.0002075,0.0002075
43,414.38,196.03,4.523,-0.32382,0.0046,0.0076,0.0016,1244.444,0.0001664,0.0001664,0.0001664
44,393.84,209.56,4.595,-0.31574,0.0147,0.0122,0.0172,1244.444,0.000316,0.000316,0.000316
45,316.09,107.19,4.631,-0.35528,0.0096,0.0176,0.0016,1244.444,0.0002181,0.0002181,0.0002181
46,370.62,40.22,4.71,0.0,0.0044,0.007,0.0018,1244.444,0.0003217,0.0003217,0.0003217
47,274.24,85.56,4.676,0.0,0.0515,0.044,0.059,1244.444,0.0003019,0.0003019,0.0003019
48,279.06,58.92,4.625,0.0,0.0021,0.0036,0.0006,1244.444,0.0001851,0.0001851,0.0001851
49,292.68,111.52,4.582,-0.32008,0.0178,0.0242,0.0114,1244.444,0.0001356,0.0001356,0.0001356
50,449.54,137.73,4.458,0.0,0.0056,0.0094,0.0018,1244.444,0.000163,0.000163,0.000163
