Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,530.05,233.53,4.636,-0.31328,0.0632,0.1232,0.0032,1244.444,0.0001442,0.0001442
1,394.27,274.32,4.736,-0.31292,0.0168,0.0168,0.0168,1244.444,0.0001444,0.0001444
2,221.68,205.65,4.819,-0.3113,0.0336,0.0386,0.0286,1244.444,0.0004423,0.0004423
3,365.79,271.6,4.747,-0.31115,0.0073,0.0092,0.0054,1244.444,0.0002302,0.0002302
4,350.36,202.18,4.788,-0.31095,0.0209,0.0268,0.015,1244.444,0.0001648,0.0001648
5,287.36,220.6,4.851,-0.31057,0.037,0.0196,0.0544,1244.444,0.0001798,0.0001798
6,260.63,114.65,4.9,-0.30906,0.1018,0.0894,0.1142,1244.444,0.0001789,0.0001789
7,399.6,64.66,4.756,-0.311,0.0052,0.0044,0.006,1244.444,0.0002777,0.0002777
8,455.39,53.26,4.813,-0.31335,0.0181,0.0192,0.017,1244.444,0.0003195,0.0003195
9,505.55,66.5,4.638,-0.3224,0.0489,0.0618,0.036,1244.444,0.0002876,0.0002876
10,231.27,210.29,4.804,-0.31123,0.0144,0.0242,0.0046,1244.444,0.0001906,0.0001906
11,361.69,78.81,4.743,-0.31179,0.0104,0.0098,0.011,1244.444,0.0001181,0.0001181
12,240.82,213.92,4.626,-0.31372,0.0286,0.0218,0.0354,1244.444,0.0002034,0.0002034
13,387.33,260.5,4.557,-0.31378,0.0448,0.0404,0.0492,1244.444,0.000134,0.000134
14,263.05,58.25,4.509,-0.31577,0.0166,0.0262,0.007,1244.444,0.0003158,0.0003158
15,395.48,310.29,4.599,-0.32045,0.0321,0.034,0.0302,1244.444,0.0004632,0.0004632
16,344.74,28.09,4.937,-0.30883,0.0717,0.0568,0.0866,1244.444,0.0007836,0.0007836
17,458.72,80.12,4.753,-0.31153,0.0089,0.0128,0.005,1244.444,0.0003982,0.0003982
18,512.65,69.31,4.659,-0.28926,0.043,0.0452,0.0408,1244.444,0.0002347,0.0002347
19,402.7,52.45,4.821,-0.31198,0.045,0.0434,0.0466,1244.444,0.0002672,0.0002672
20,272.03,63.04,4.738,-0.31197,0.0276,0.0332,0.022,1244.444,0.0002824,0.0002824
21,335.36,28.65,4.774,-0.31143,0.0328,0.0344,0.0312,1244.444,0.0002388,0.0002388
