Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,456.63,255.55,4.636,-0.31328,0.0074,0.0074,0.0074,1244.444,0.0002217,0.0002217,0.0002217
1,430.19,331.35,4.736,-0.31292,0.0167,0.0208,0.0126,1244.444,0.0002382,0.0002382,0.0002382
2,250.99,177.16,4.819,-0.3113,0.0261,0.0226,0.0296,1244.444,0.0006082,0.0006082,0.0006082
3,224.94,286.07,4.747,-0.31115,0.0071,0.0078,0.0064,1244.444,0.0002581,0.0002581,0.0002581
4,389.86,141.45,4.788,-0.31095,0.0157,0.0118,0.0196,1244.444,0.0002479,0.0002479,0.0002479
5,211.78,110.41,4.851,-0.31057,0.0384,0.0234,0.0534,1244.444,0.0002113,0.0002113,0.0002113
6,256.31,85.87,4.9,-0.30906,0.0991,0.0814,0.1168,1244.444,0.0001691,0.0001691,0.0001691
7,145.43,30.75,4.756,-0.311,0.0068,0.0094,0.0042,1244.444,0.00587,0.00587,0.00587
8,448.88,34.73,4.813,-0.31335,0.0093,0.0124,0.0062,1244.444,0.0004284,0.0004284,0.0004284
9,350.59,52.03,4.638,-0.3224,0.0387,0.03,0.0474,1244.444,0.00029,0.00029,0.00029
10,246.98,209.83,4.804,-0.31123,0.0158,0.0246,0.007,1244.444,0.0003653,0.0003653,0.0003653
11,433.4,76.83,4.743,-0.31179,0.0093,0.008,0.0106,1244.444,0.0001063,0.0001063,0.0001063
12,364.68,255.25,4.626,-0.31372,0.029,0.026,0.032,1244.444,0.0001879,0.0001879,0.0001879
13,260.1,317.02,4.557,-0.31378,0.0415,0.0434,0.0396,1244.444,0.0001464,0.0001464,0.0001464
14,190.49,66.94,4.509,-0.31577,0.0179,0.0266,0.0092,1244.444,0.0003735,0.0003735,0.0003735
15,428.5,276.1,4.599,-0.32045,0.03,0.032,0.028,1244.444,0.0005115,0.0005115,0.0005115
16,270.33,24.34,4.937,-0.30883,0.0687,0.0626,0.0748,1244.444,0.00098,0.00098,0.00098
17,6.52,73.87,4.753,-0.31153,0.0099,0.0148,0.005,1244.444,0.0006157,0.0006157,0.0006157
18,415.75,33.52,4.659,-0.28926,0.05,0.051,0.049,1244.444,0.00105,0.00105,0.00105
19,394.93,88.45,4.821,-0.31198,0.0382,0.0264,0.05,1244.444,0.0001813,0.0001813,0.0001813
20,320.9,61.95,4.738,-0.31197,0.0317,0.034,0.0294,1244.444,0.0002098,0.0002098,0.0002098
21,50.57,20.18,4.774,-0.31143,0.0323,0.036,0.0286,1244.444,0.00346,0.00346,0.00346
22,244.96,207.61,4.668,-0.31332,0.0078,0.008,0.0076,1244.444,0.0001491,0.0001491,0.0001491
23,298.89,45.87,4.758,-0.31174,0.0215,0.0212,0.0218,1244.444,0.0002292,0.0002292,0.0002292
24,286.86,14.91,4.611,-0.31355,0.0372,0.0232,0.0512,1244.444,0.0005121,0.0005121,0.0005121
25,406.29,336.16,4.732,-0.31226,0.0268,0.0292,0.0244,1244.444,0.0001448,0.0001448,0.0001448
26,326.14,138.53,4.777,-0.31228,0.0058,0.0084,0.0032,1244.444,0.0001507,0.0001507,0.0001507
27,298.75,138.63,4.68,-0.31283,0.0089,0.0098,0.008,1244.444,0.0001796,0.0001796,0.0001796
