Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,111.23,10.97,5.088,-0.30783,0.0061,0.0052,0.007,864.0,0.0002387,0.0002387,0.0002387
1,64.78,75.35,4.981,-0.30902,0.0034,0.004,0.0028,864.0,0.0002619,0.0002619,0.0002619
2,91.78,15.48,4.892,-0.3104,0.0308,0.0324,0.0292,864.0,0.0002336,0.0002336,0.0002336
3,123.97,28.61,4.944,-0.27711,0.0868,0.0826,0.091,864.0,0.0011,0.0011,0.0011
4,107.53,83.22,4.987,-0.32195,0.358,0.2826,0.4334,864.0,0.0012,0.0012,0.0012
5,97.45,158.1,4.882,-0.31039,0.072,0.0742,0.0698,864.0,0.0005504,0.0005504,0.0005504
6,108.38,164.59,4.969,-0.30806,0.0891,0.0618,0.1164,864.0,0.0002938,0.0002938,0.0002938
7,58.73,65.01,5.015,-0.30824,0.003,0.0038,0.0022,864.0,0.0003216,0.0003216,0.0003216
8,100.86,127.67,5.111,-0.3073,0.0083,0.0102,0.0064,864.0,0.0002818,0.0002818,0.0002818
9,90.7,10.95,4.972,-0.30941,0.3314,0.2956,0.3672,864.0,0.02176,0.02176,0.02176
10,134.21,17.2,4.876,-0.31036,0.1486,0.1646,0.1326,864.0,0.00899,0.00899,0.00899
11,83.03,11.49,5.132,-0.30673,0.3148,0.3148,0.3148,864.0,0.0047,0.0047,0.0047
12,145.3,25.59,4.831,-0.31113,0.482,0.5666,0.3974,864.0,0.00366,0.00366,0.00366
13,102.99,9.5,4.95,-0.30876,0.0272,0.0212,0.0332,864.0,0.0003092,0.0003092,0.0003092
14,108.64,99.42,4.995,-0.30886,0.0103,0.0144,0.0062,864.0,0.0004417,0.0004417,0.0004417
15,98.84,71.67,5.118,-0.30738,0.0074,0.01,0.0048,864.0,0.00133,0.00133,0.00133
16,108.03,216.65,4.918,-0.3091,0.0088,0.0106,0.007,864.0,0.0001686,0.0001686,0.0001686
17,145.86,18.66,5.003,-0.30763,0.0509,0.0458,0.056,864.0,0.0003584,0.0003584,0.0003584
18,89.49,140.06,4.865,-0.31125,0.0527,0.057,0.0484,864.0,0.0001786,0.0001786,0.0001786
19,41.08,113.79,5.103,-0.30768,0.0097,0.0186,0.0008,864.0,0.00116,0.00116,0.00116
20,106.06,153.58,4.902,-0.30965,0.0284,0.0264,0.0304,864.0,0.0002575,0.0002575,0.0002575
21,87.49,154.97,5.04,-0.30739,0.0095,0.0174,0.0016,864.0,0.0002912,0.0002912,0.0002912
22,93.39,51.68,4.979,-0.30076,0.0359,0.0236,0.0482,864.0,0.0004039,0.0004039,0.0004039
23,102.29,121.05,5.033,-0.30851,0.0171,0.0176,0.0166,864.0,0.0002887,0.0002887,0.0002887
24,141.01,190.87,4.766,-0.30398,0.0369,0.04,0.0338,864.0,0.00157,0.00157,0.00157
25,126.26,177.05,4.87,-0.31089,0.0106,0.014,0.0072,864.0,0.0002418,0.0002418,0.0002418
26,109.88,167.27,4.999,-0.30886,0.0057,0.0058,0.0056,864.0,0.0001801,0.0001801,0.0001801
27,88.32,23.26,5.077,-0.30693,0.1052,0.1208,0.0896,864.0,0.0003282,0.0003282,0.0003282
28,61.14,80.84,5.198,-0.30578,0.006,0.0078,0.0042,864.0,0.0002126,0.0002126,0.0002126
29,92.21,15.46,4.994,-0.30757,0.0843,0.0824,0.0862,864.0,0.0004279,0.0004279,0.0004279
30,125.24,130.36,5.083,-0.30708,0.004,0.0066,0.0014,864.0,0.0001817,0.0001817,0.0001817
31,92.57,58.83,5.129,-0.30656,0.0032,0.0044,0.002,864.0,0.0002957,0.0002957,0.0002957
32,100.23,32.15,5.204,-0.30413,0.0038,0.0042,0.0034,864.0,0.0002084,0.0002084,0.0002084
33,91.63,63.85,4.953,-0.30938,0.0926,0.1244,0.0608,864.0,0.0008723,0.0008723,0.0008723
34,94.94,153.79,4.937,-0.30923,0.0196,0.0188,0.0204,864.0,0.0003121,0.0003121,0.0003121
35,16.98,14.73,5.074,-0.30721,0.0073,0.0126,0.002,864.0,0.00099,0.00099,0.00099
36,101.93,132.14,5.102,-0.30593,0.003,0.0054,0.0006,864.0,0.0003347,0.0003347,0.0003347
37,65.67,61.43,5.168,-0.30222,0.0289,0.0374,0.0204,864.0,0.00126,0.00126,0.00126
38,81.0,118.65,5.106,-0.30753,0.0088,0.0112,0.0064,864.0,0.0003312,0.0003312,0.0003312
39,78.75,135.84,5.018,-0.30838,0.0146,0.0154,0.0138,864.0,0.0004851,0.0004851,0.0004851
40,33.14,15.38,5.163,-0.30613,0.0549,0.0566,0.0532,864.0,0.0002455,0.0002455,0.0002455
41,77.92,42.56,5.093,-0.30775,0.0788,0.0806,0.077,864.0,0.0003128,0.0003128,0.0003128
42,116.58,260.15,4.925,-0.30938,0.0215,0.0284,0.0146,864.0,0.0002194,0.0002194,0.0002194
43,116.77,165.19,5.033,-0.30812,0.0153,0.0122,0.0184,864.0,0.000224,0.000224,0.000224
44,92.43,145.23,5.116,-0.30753,0.0121,0.0224,0.0018,864.0,0.0003186,0.0003186,0.0003186
45,103.95,149.51,4.88,-0.30948,0.0598,0.083,0.0366,864.0,0.0002102,0.0002102,0.0002102
46,56.77,33.76,5.145,-0.30658,0.0038,0.007,0.0006,864.0,0.0002982,0.0002982,0.0002982
47,133.53,23.18,5.001,-0.30885,0.0201,0.0218,0.0184,864.0,0.0002861,0.0002861,0.0002861
48,127.89,136.75,4.934,-0.309,0.0593,0.0462,0.0724,864.0,0.0001554,0.0001554,0.0001554
49,51.33,88.09,5.116,-0.30701,0.0054,0.007,0.0038,864.0,0.0002664,0.0002664,0.0002664
50,129.2,104.62,5.017,-0.30795,0.037,0.0162,0.0578,864.0,0.000249,0.000249,0.000249
51,120.34,76.34,5.209,-0.30446,0.0042,0.0066,0.0018,864.0,0.0002303,0.0002303,0.0002303
52,79.04,61.83,5.016,-0.30785,0.0088,0.0102,0.0074,864.0,0.0003473,0.0003473,0.0003473
53,67.16,15.31,5.048,-0.30705,0.0548,0.0472,0.0624,864.0,0.00118,0.00118,0.00118
54,115.44,109.45,5.024,-0.30335,0.0177,0.0264,0.009,864.0,0.0001804,0.0001804,0.0001804
55,68.09,116.94,5.198,-0.30556,0.0027,0.0052,0.0002,864.0,0.0002585,0.0002585,0.0002585
56,48.13,69.21,5.188,-0.30564,0.0064,0.007,0.0058,864.0,0.0002783,0.0002783,0.0002783
