Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,458.33,461.79,4.656,-0.31111,0.0026,0.004,0.0012,1244.444,0.0001114,0.0001114,0.0001114
1,439.79,288.88,4.535,0.0,0.0015,0.002,0.001,1244.444,0.0001471,0.0001471,0.0001471
2,289.48,103.46,4.68,-0.31073,0.0057,0.0084,0.003,1244.444,0.0001905,0.0001905,0.0001905
3,441.12,154.07,4.607,0.0,0.0123,0.0136,0.011,1244.444,0.0001279,0.0001279,0.0001279
4,466.12,87.82,4.462,-0.32295,0.011,0.0132,0.0088,1244.444,0.0004341,0.0004341,0.0004341
5,380.29,319.87,4.427,0.0,0.0059,0.0078,0.004,1244.444,0.0001565,0.0001565,0.0001565
6,452.95,169.84,4.64,-0.31059,0.0012,0.0018,0.0006,1244.444,0.0001283,0.0001283,0.0001283
7,580.2,444.27,4.476,0.0,0.0013,0.0014,0.0012,1244.444,0.0001161,0.0001161,0.0001161
8,349.82,252.0,4.402,-0.31475,0.0078,0.006,0.0096,1244.444,0.0003768,0.0003768,0.0003768
9,339.07,427.89,4.519,0.0,0.0042,0.0052,0.0032,1244.444,9.978e-05,9.978e-05,9.978e-05
10,320.36,59.43,4.628,-0.31213,0.002,0.0034,0.0006,1244.444,0.0001277,0.0001277,0.0001277
11,371.65,316.5,4.572,0.0,0.0169,0.018,0.0158,1244.444,0.0001911,0.0001911,0.0001911
12,461.94,348.27,4.464,-0.31549,0.002,0.0032,0.0008,1244.444,0.0001045,0.0001045,0.0001045
13,291.74,92.53,4.573,0.0,0.0075,0.0132,0.0018,1244.444,0.0001876,0.0001876,0.0001876
14,319.5,331.87,4.604,0.0,0.0104,0.0114,0.0094,1244.444,0.0005159,0.0005159,0.0005159
15,324.75,62.89,4.497,0.0,0.0403,0.0228,0.0578,1244.444,0.0007318,0.0007318,0.0007318
16,366.28,131.52,4.513,0.0,0.0071,0.0058,0.0084,1244.444,0.0001865,0.0001865,0.0001865
17,288.42,43.6,4.676,0.0,0.0077,0.012,0.0034,1244.444,0.00093,0.00093,0.00093
18,333.46,53.07,4.515,-0.31437,0.0047,0.0058,0.0036,1244.444,0.0001163,0.0001163,0.0001163
19,253.12,117.29,4.444,0.0,0.006,0.0082,0.0038,1244.444,0.0001318,0.0001318,0.0001318
20,625.45,428.56,4.341,-0.31506,0.0229,0.022,0.0238,1244.444,0.0001287,0.0001287,0.0001287
21,303.17,190.87,4.485,0.0,0.0137,0.012,0.0154,1244.444,0.000138,0.000138,0.000138
22,442.19,216.63,4.383,-0.3144,0.0218,0.018,0.0256,1244.444,0.00117,0.00117,0.00117
23,103.59,72.96,4.532,0.0,0.0025,0.0044,0.0006,1244.444,0.0002109,0.0002109,0.0002109
24,373.37,91.48,4.646,-0.31097,0.0024,0.0034,0.0014,1244.444,0.000352,0.000352,0.000352
25,73.46,137.63,4.702,0.0,0.0123,0.0182,0.0064,1244.444,0.00182,0.00182,0.00182
26,216.26,89.08,4.649,-0.3113,0.0103,0.011,0.0096,1244.444,0.0004547,0.0004547,0.0004547
27,367.36,29.83,4.604,0.0,0.0234,0.015,0.0318,1244.444,0.0002996,0.0002996,0.0002996
28,178.05,14.43,4.517,-0.31294,0.0111,0.015,0.0072,1244.444,0.0002066,0.0002066,0.0002066
29,453.91,237.13,4.46,0.0,0.0093,0.0102,0.0084,1244.444,0.0001131,0.0001131,0.0001131
30,422.9,50.07,4.646,0.0,0.0358,0.0354,0.0362,1244.444,0.0007385,0.0007385,0.0007385
31,131.56,170.33,4.613,-0.3168,0.0173,0.0222,0.0124,1244.444,0.0005011,0.0005011,0.0005011
