Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0132,0.0038,0.0226,864.0,0.0002337,0.0002337,0.0002337
1,4.981,-0.30902,0.0259,0.0054,0.0464,864.0,0.0001838,0.0001838,0.0001838
2,4.892,-0.3104,0.0264,0.0296,0.0232,864.0,0.0002157,0.0002157,0.0002157
3,4.944,-0.27711,0.0967,0.0884,0.105,864.0,0.0004184,0.0004184,0.0004184
4,4.987,-0.32195,0.3336,0.2918,0.3754,864.0,0.00151,0.00151,0.00151
5,4.882,-0.31039,0.0868,0.0932,0.0804,864.0,0.0006498,0.0006498,0.0006498
6,4.969,-0.30806,0.0558,0.0694,0.0422,864.0,0.0002996,0.0002996,0.0002996
7,5.015,-0.30824,0.0077,0.007,0.0084,864.0,0.0004897,0.0004897,0.0004897
8,5.111,-0.3073,0.0147,0.0186,0.0108,864.0,0.0002826,0.0002826,0.0002826
9,4.972,-0.30941,0.3236,0.3072,0.34,864.0,0.01637,0.01637,0.01637
10,4.876,-0.31036,0.1973,0.1998,0.1948,864.0,0.00382,0.00382,0.00382
11,5.132,-0.30673,0.2582,0.2338,0.2826,864.0,0.00363,0.00363,0.00363
12,4.831,-0.31113,0.4905,0.1558,0.8252,864.0,0.00131,0.00131,0.00131
13,4.95,-0.30876,0.0129,0.0148,0.011,864.0,0.0007089,0.0007089,0.0007089
14,4.995,-0.30886,0.0101,0.0098,0.0104,864.0,0.0002673,0.0002673,0.0002673
15,5.118,-0.30738,0.0139,0.0164,0.0114,864.0,0.00156,0.00156,0.00156
16,4.918,-0.3091,0.0094,0.008,0.0108,864.0,0.0001473,0.0001473,0.0001473
17,5.003,-0.30763,0.0396,0.046,0.0332,864.0,0.0003402,0.0003402,0.0003402
18,4.865,-0.31125,0.0563,0.0574,0.0552,864.0,0.0002055,0.0002055,0.0002055
19,5.104,-0.30768,0.0057,0.0102,0.0012,864.0,0.0003162,0.0003162,0.0003162
20,4.902,-0.30965,0.0062,0.0092,0.0032,864.0,0.0002312,0.0002312,0.0002312
21,5.04,-0.30739,0.0098,0.0188,0.0008,864.0,0.000831,0.000831,0.000831
22,4.979,-0.30076,0.0492,0.0714,0.027,864.0,0.0003685,0.0003685,0.0003685
23,5.033,-0.30851,0.0115,0.0166,0.0064,864.0,0.0003142,0.0003142,0.0003142
24,4.766,-0.30398,0.0431,0.0508,0.0354,864.0,0.00271,0.00271,0.00271
25,4.87,-0.31089,0.0104,0.0122,0.0086,864.0,0.0002588,0.0002588,0.0002588
26,4.999,-0.30886,0.0087,0.015,0.0024,864.0,0.00098,0.00098,0.00098
27,5.077,-0.30693,0.099,0.1034,0.0946,864.0,0.0003593,0.0003593,0.0003593
28,5.198,-0.30578,0.0039,0.0066,0.0012,864.0,0.0002159,0.0002159,0.0002159
29,4.994,-0.30757,0.0857,0.0888,0.0826,864.0,0.0002077,0.0002077,0.0002077
30,5.083,-0.30708,0.0054,0.0064,0.0044,864.0,0.0003318,0.0003318,0.0003318
31,5.129,-0.30656,0.0025,0.005,0.0,864.0,0.0003706,0.0003706,0.0003706
32,5.204,-0.30413,0.0037,0.0062,0.0012,864.0,0.0002405,0.0002405,0.0002405
33,4.953,-0.30938,0.0181,0.0194,0.0168,864.0,0.0004264,0.0004264,0.0004264
34,4.937,-0.30923,0.0102,0.0124,0.008,864.0,0.0001878,0.0001878,0.0001878
35,5.074,-0.30721,0.0051,0.01,0.0002,864.0,0.0003328,0.0003328,0.0003328
36,5.102,-0.30593,0.0149,0.0098,0.02,864.0,0.0003223,0.0003223,0.0003223
37,5.168,-0.30222,0.0374,0.0468,0.028,864.0,0.00144,0.00144,0.00144
38,5.106,-0.30753,0.0091,0.012,0.0062,864.0,0.0002667,0.0002667,0.0002667
39,5.018,-0.30838,0.0129,0.0122,0.0136,864.0,0.0003319,0.0003319,0.0003319
40,5.163,-0.30613,0.0703,0.0738,0.0668,864.0,0.000305,0.000305,0.000305
41,5.093,-0.30775,0.0962,0.0912,0.1012,864.0,0.0003013,0.0003013,0.0003013
42,4.925,-0.30938,0.0182,0.0218,0.0146,864.0,0.0002599,0.0002599,0.0002599
43,5.033,-0.30812,0.0098,0.0032,0.0164,864.0,0.0003224,0.0003224,0.0003224
44,5.116,-0.30753,0.0119,0.0216,0.0022,864.0,0.0006003,0.0006003,0.0006003
45,4.88,-0.30948,0.05,0.0684,0.0316,864.0,0.0001788,0.0001788,0.0001788
46,5.145,-0.30658,0.0026,0.0052,0.0,864.0,0.0002149,0.0002149,0.0002149
47,5.001,-0.30885,0.006,0.0072,0.0048,864.0,0.0002989,0.0002989,0.0002989
48,4.934,-0.309,0.0298,0.0274,0.0322,864.0,0.0002119,0.0002119,0.0002119
49,5.116,-0.30701,0.005,0.007,0.003,864.0,0.000263,0.000263,0.000263
50,5.017,-0.30795,0.0389,0.0218,0.056,864.0,0.0002663,0.0002663,0.0002663
51,5.209,-0.30446,0.0045,0.0084,0.0006,864.0,0.0004062,0.0004062,0.0004062
52,5.016,-0.30785,0.0608,0.0278,0.0938,864.0,0.00092,0.00092,0.00092
53,5.048,-0.30705,0.0573,0.0496,0.065,864.0,0.00138,0.00138,0.00138
54,5.024,-0.30335,0.0211,0.0232,0.019,864.0,0.0002416,0.0002416,0.0002416
55,5.197,-0.30556,0.0019,0.0038,0.0,864.0,0.0005633,0.0005633,0.0005633
56,5.188,-0.30564,0.0043,0.0062,0.0024,864.0,0.0003154,0.0003154,0.0003154
57,5.093,-0.30621,0.0095,0.0142,0.0048,864.0,0.0002964,0.0002964,0.0002964
58,4.965,-0.30941,0.0332,0.0406,0.0258,864.0,0.0001719,0.0001719,0.0001719
59,5.019,-0.30794,0.0131,0.0194,0.0068,864.0,0.0002807,0.0002807,0.0002807
60,5.141,-0.30605,0.0153,0.0176,0.013,864.0,0.0007939,0.0007939,0.0007939
61,4.875,-0.3101,0.0466,0.0474,0.0458,864.0,0.0003162,0.0003162,0.0003162
62,4.961,-0.30931,0.0083,0.0116,0.005,864.0,0.0002163,0.0002163,0.0002163
63,5.045,-0.30798,0.0206,0.0062,0.035,864.0,0.0001919,0.0001919,0.0001919
64,5.258,-0.30505,0.0286,0.0276,0.0296,864.0,0.0002688,0.0002688,0.0002688
65,5.101,-0.30611,0.0048,0.0068,0.0028,864.0,0.0003753,0.0003753,0.0003753
66,5.234,-0.29458,0.0183,0.0222,0.0144,864.0,0.00208,0.00208,0.00208
67,4.912,-0.30058,0.0996,0.1112,0.088,864.0,0.0002627,0.0002627,0.0002627
68,5.136,-0.30448,0.0075,0.0084,0.0066,864.0,0.0002437,0.0002437,0.0002437
69,4.944,-0.30828,0.0174,0.0124,0.0224,864.0,0.0002512,0.0002512,0.0002512
70,5.155,-0.30506,0.0067,0.0098,0.0036,864.0,0.0002592,0.0002592,0.0002592
71,5.119,-0.31568,0.0818,0.0854,0.0782,864.0,0.0004821,0.0004821,0.0004821
72,5.145,-0.3059,0.0094,0.0104,0.0084,864.0,0.000196,0.000196,0.000196
73,5.019,-0.30805,0.0178,0.015,0.0206,864.0,0.0002613,0.0002613,0.0002613
74,4.874,-0.32062,0.0824,0.0786,0.0862,864.0,0.0002264,0.0002264,0.0002264
75,5.008,-0.30781,0.0046,0.007,0.0022,864.0,0.0001779,0.0001779,0.0001779
76,4.904,-0.31017,0.0027,0.0044,0.001,864.0,0.0001936,0.0001936,0.0001936
77,5.071,-0.30801,0.0698,0.0786,0.061,864.0,0.00128,0.00128,0.00128
78,5.277,-0.3036,0.0026,0.0044,0.0008,864.0,0.000272,0.000272,0.000272
79,5.017,-0.30802,0.0153,0.0176,0.013,864.0,0.0004696,0.0004696,0.0004696
80,5.081,-0.30759,0.1213,0.1282,0.1144,864.0,0.0002135,0.0002135,0.0002135
81,4.945,-0.3096,0.0166,0.0144,0.0188,864.0,0.0002272,0.0002272,0.0002272
82,5.08,-0.30778,0.0383,0.035,0.0416,864.0,0.0006808,0.0006808,0.0006808
